epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,348.959,0.55317,0.36721,0.82365,0.94363,0.78938,0.85163,0.60812,0.48889,0.41231,0.77146,0.000848969,0.000848969,0.000848969
43,357.643,0.54051,0.36166,0.8158,0.87497,0.80576,0.83754,0.59725,0.50322,0.39287,0.77531,0.000834822,0.000834822,0.000834822
44,365.938,0.54039,0.35949,0.81813,0.93874,0.79159,0.83659,0.6026,0.50129,0.41175,0.77339,0.000820675,0.000820675,0.000820675
45,373.658,0.56384,0.3808,0.81745,0.94874,0.79586,0.85181,0.61517,0.4738,0.38278,0.7695,0.000806528,0.000806528,0.000806528
46,382.502,0.58228,0.38335,0.83028,0.9035,0.78905,0.84839,0.61526,0.49419,0.39521,0.77358,0.00079238,0.00079238,0.00079238
47,390.463,0.54349,0.37699,0.8253,0.91486,0.77501,0.84988,0.61121,0.50015,0.39725,0.78073,0.000778233,0.000778233,0.000778233
48,398.619,0.54564,0.3579,0.81634,0.9018,0.80868,0.85782,0.62113,0.51398,0.40464,0.77874,0.000764086,0.000764086,0.000764086
49,407.327,0.56298,0.35569,0.82549,0.91836,0.79197,0.86796,0.62726,0.50774,0.41232,0.78106,0.000749939,0.000749939,0.000749939
50,415.076,0.5511,0.35915,0.81437,0.91979,0.79798,0.8623,0.62782,0.47661,0.39866,0.77333,0.000735792,0.000735792,0.000735792
51,423.768,0.5277,0.34951,0.8125,0.95012,0.79586,0.86738,0.63024,0.48091,0.40091,0.77173,0.000721645,0.000721645,0.000721645
52,432.405,0.5535,0.3604,0.82524,0.95479,0.78845,0.86119,0.62983,0.50513,0.39712,0.77592,0.000707498,0.000707498,0.000707498
53,439.837,0.52339,0.34237,0.81907,0.9425,0.78153,0.83874,0.61662,0.48859,0.37166,0.7729,0.000693351,0.000693351,0.000693351
54,448.386,0.52503,0.35334,0.81354,0.94541,0.80425,0.86219,0.62113,0.52402,0.38405,0.77777,0.000679204,0.000679204,0.000679204
55,457.135,0.53576,0.34941,0.81457,0.90751,0.80868,0.84866,0.62717,0.48972,0.37629,0.7736,0.000665057,0.000665057,0.000665057
56,464.711,0.52751,0.34687,0.80977,0.91823,0.80013,0.85153,0.61991,0.48099,0.38169,0.77311,0.000650909,0.000650909,0.000650909
57,473.457,0.51877,0.32439,0.82051,0.93731,0.77022,0.83573,0.60545,0.47406,0.37607,0.77093,0.000636762,0.000636762,0.000636762
58,481.881,0.55081,0.34891,0.81982,0.90107,0.78731,0.84371,0.62708,0.46948,0.36392,0.76922,0.000622615,0.000622615,0.000622615
59,489.562,0.52609,0.33723,0.81799,0.91563,0.80868,0.8617,0.63083,0.48801,0.38901,0.77268,0.000608468,0.000608468,0.000608468
60,498.148,0.51604,0.33634,0.82365,0.93457,0.80868,0.87344,0.63145,0.46937,0.36771,0.77595,0.000594321,0.000594321,0.000594321
61,506.157,0.5091,0.32969,0.8183,0.91093,0.79586,0.86077,0.63603,0.47562,0.37209,0.77492,0.000580174,0.000580174,0.000580174
62,514.222,0.51124,0.32677,0.80612,0.94394,0.78973,0.86049,0.6233,0.46601,0.36195,0.77256,0.000566027,0.000566027,0.000566027
63,522.744,0.50479,0.32387,0.80155,0.89892,0.78934,0.84844,0.62793,0.48059,0.38779,0.77662,0.00055188,0.00055188,0.00055188
64,530.366,0.5031,0.33288,0.80567,0.92123,0.81295,0.85879,0.63518,0.47845,0.37843,0.77803,0.000537733,0.000537733,0.000537733
65,538.989,0.51102,0.32874,0.81444,0.93228,0.79586,0.84988,0.6344,0.48277,0.37138,0.77952,0.000523586,0.000523586,0.000523586
